ResellerKey,Reseller,City,Region
1,"A Bike Store",Seattle,Washington
2,"Progressive Sports",Renton,Washington
3,"Advanced Bike Components",Irving,Texas
4,"Modular Cycle Systems",Austin,Texas
5,"Metropolitan Sports Supply",Fremont,California
6,"Aerobic Exercise Company",Camarillo,California
7,"Associated Bikes","Salt Lake City",Utah
8,"Exemplary Cycles",Miami,Florida
9,"Tandem Bicycle Store",Millington,Tennessee
10,"Rural Cycle Emporium",Burnaby,"British Columbia"
11,"Sharp Bikes",Toronto,Ontario
12,"Bikes and Motorbikes",Toronto,Ontario
13,"Country Parts Shop","Les Ulis",Essonne
14,"Bicycle Warehouse Inc.","Frankfurt am Main",Saarland
15,"Budget Toy Store","Lavender Bay","New South Wales"
16,"Bulk Discount Store",London,England
17,"Trusted Catalog Store","Newport News",Virginia
18,"Catalog Store",Zeeland,Michigan
19,"Center Cycle Shop",Bothell,Washington
20,"Central Discount Store",Kent,Washington
21,"Chic Department Stores",Irving,Texas
22,"Travel Systems","North Sioux City","South Dakota"
23,"Bike World","San Ramon",California
24,"Eastside Department Store","Union City",California
25,"Coalition Bike Company","El Segundo",California
26,"Stylish Department Stores",Miami,Florida
27,"Sports Sales and Rental",Millington,Tennessee
28,"Commuter Bicycle Store",Toronto,Ontario
29,"Cross-Country Riding Supplies","Chalk Riber",Ontario
30,"Cycle Merchants",Quebec,Quebec
31,"Wheels Inc.",Paris,"Seine (Paris)"
32,"Precision Gears Inc.",Stuttgart,Saarland
33,"Global Sports Outlet","Lavender Bay","New South Wales"
34,"Cycles Wholesaler & Mfg.",Warrington,England
35,"Economic Parts Supply","West Kingston","Rhode Island"
36,"Exotic Bikes","South Bend",Indiana
37,"Two Bike Shops",Puyallup,Washington
38,"Finer Mart",Billings,Montana
39,"Fitness Hotel",Edina,Minnesota
40,"Journey Sporting Goods",Laredo,Texas
41,"Distant Inn",Milpitas,California
42,"Healthy Activity Store","Newport Beach",California
43,"Frugal Bike Shop","Salt Lake City",Utah
44,"Games and Sport Supply Company",Huntsville,Alabama
45,"Every Bike Shop","La Vergne",Tennessee
46,"Gear-Shift Bikes Limited",Calgary,Alberta
47,"Greater Bike Store",Toronto,Ontario
48,"Grand Industries",Montreal,Quebec
49,"Neighborhood Bicycle Storehouse",Roncq,Nord
50,"Hometown Riding Supplies",Berlin,Brandenburg
51,"Ideal Components",Cloverdale,"South Australia"
52,"Instruments and Parts Company",Gloucestershire,England
53,"Incomparable Bicycle Store",Norwood,Massachusetts
54,"Larger Cycle Shop",Melville,"New York"
55,"Kickstands and Accessories Company",Medford,Oregon
56,"Latest Accessories Sales",Portland,Oregon
57,"Leading Sales & Repair","West Chicago",Illinois
58,"Largest Bike Store",Chicago,Illinois
59,"Locks Company",Visalia,California
60,"Main Bicycle Services",Hayward,California
61,"Many Bikes Store",Fullerton,California
62,"Manufacturers Inc",Nashville,Tennessee
63,"Metro Bike Mart",Greensboro,"North Carolina"
64,"Metal Clearing House",Toronto,Ontario
65,"Metro Manufacturing",Weston,Ontario
66,"Neighborhood Store",Burnaby,"British Columbia"
67,"Self-Contained Cycle Parts Company","Verrieres Le Buisson",Essonne
68,"North Bike Company",Muehlheim,Hamburg
69,"Online Bike Catalog","Lavender Bay","New South Wales"
70,"Outdoor Aerobic Systems Company",London,England
71,"Outdoor Distributors",Farmington,Connecticut
72,"Outdoor Equipment Store",Nashua,"New Hampshire"
73,"Outdoor Sports Supply","North Bend",Washington
74,"Parcel Express Delivery Service",Portland,Oregon
75,"Paint Supply",Garland,Texas
